481505.46047443	-1621170.77461880	163.458004326 -74.5260294146 26.182 58476.7011806
481505.45719143	-1621170.77351754	163.458004422 -74.5260294326 26.179 58476.7013542
481505.46043415	-1621170.77614188	163.458004342 -74.5260294015 26.177 58476.7015278
481505.46014135	-1621170.77515606	163.458004342 -74.5260294108 26.175 58476.7017014
481505.45896016	-1621170.77781394	163.458004406 -74.5260293908 26.166 58476.701875
481505.46052940	-1621170.77044979	163.458004284 -74.5260294506 26.165 58476.7020486
481505.45978018	-1621170.77622076	163.458004364 -74.5260294025 26.162 58476.7022222
481505.45810304	-1621170.77295841	163.458004387 -74.5260294351 26.173 58476.7023958
481505.45704612	-1621170.77178428	163.45800441 -74.526029448 26.175 58476.7025694
481505.45756596	-1621170.77446754	163.458004419 -74.5260294234 26.167 58476.7027431
481505.45775866	-1621170.76868884	163.458004357 -74.526029473 26.164 58476.7029167
481505.46042709	-1621170.77414838	163.458004323 -74.5260294188 26.173 58476.7030903
481505.46074975	-1621170.77108799	163.458004283 -74.5260294445 26.162 58476.7032639
481505.45791567	-1621170.76818080	163.458004347 -74.526029477 26.173 58476.7034375
481505.45933562	-1621170.77306526	163.458004348 -74.526029431 26.176 58476.7036111
481505.46259593	-1621170.77243143	163.458004236 -74.5260294281 26.17 58476.7037847
481505.46273724	-1621170.77197419	163.458004227 -74.5260294317 26.162 58476.7039583
481505.45847341	-1621170.77130268	163.458004359 -74.5260294485 26.174 58476.7041319
481505.46219642	-1621170.77191566	163.458004244 -74.5260294336 26.17 58476.7043056
481505.46390048	-1621170.77164024	163.458004186 -74.5260294316 26.171 58476.7044792
481505.46450492	-1621170.77357166	163.458004185 -74.5260294133 26.176 58476.7046528
481505.46215008	-1621170.77404036	163.458004266 -74.5260294153 26.168 58476.7048264
481505.46274774	-1621170.77470493	163.458004253 -74.526029408 26.157 58476.705
481505.46316191	-1621170.77247097	163.458004218 -74.5260294263 26.171 58476.7051736
481505.46167403	-1621170.77077887	163.45800425 -74.5260294448 26.159 58476.7053472
481505.46231254	-1621170.77137362	163.458004235 -74.526029438 26.168 58476.7055208
